aX,aY,aZ,gX,gY,gZ,gesture
0.589,-0.787,0.164,3.601,-18.494,8.179,1
0.598,-0.765,0.164,-0.122,-19.043,7.263,1
0.606,-0.758,0.146,-2.014,-18.982,5.371,1
0.62,-0.756,0.147,-2.441,-18.555,3.418,1
0.608,-0.762,0.15,-1.831,-17.761,2.319,1
0.614,-0.75,0.162,0.183,-16.541,1.038,1
0.617,-0.754,0.172,3.662,-14.893,0,1
0.612,-0.762,0.166,7.629,-13,-1.038,1
0.625,-0.782,0.14,10.925,-11.414,-2.258,1
0.632,-0.799,0.128,12.451,-10.864,-2.441,1
0.635,-0.802,0.121,12.085,-11.108,-2.625,1
0.633,-0.813,0.125,10.62,-11.841,-2.869,1
0.629,-0.813,0.14,8.789,-12.268,-3.052,1
0.623,-0.822,0.156,7.629,-12.695,-3.296,1
0.625,-0.832,0.176,7.08,-12.817,-3.052,1
0.59,-0.838,0.187,6.775,-12.634,-2.075,1
0.605,-0.84,0.193,6.409,-11.353,-1.526,1
0.597,-0.83,0.191,3.418,-10.132,0.061,1
0.597,-0.814,0.17,2.136,-9.644,0.61,1
0.597,-0.821,0.162,2.014,-9.399,0.854,1
0.607,-0.818,0.163,1.526,-9.583,1.587,1
0.576,-0.829,0.169,0.61,-9.888,2.747,1
0.585,-0.84,0.177,-0.061,-9.216,3.235,1
0.593,-0.844,0.197,-1.587,-8.911,3.723,1
0.567,-0.84,0.221,-2.991,-9.094,5.005,1
0.558,-0.836,0.232,-3.418,-8.85,5.981,1
0.56,-0.829,0.232,-4.028,-7.874,6.47,1
0.568,-0.829,0.226,-5.798,-7.019,6.958,1
0.59,-0.819,0.226,-8.118,-6.287,7.812,1
0.561,-0.807,0.209,-9.644,-5.188,8.728,1
0.565,-0.79,0.194,-10.498,-3.479,8.667,1
0.575,-0.789,0.183,-10.925,-2.014,8.362,1
0.589,-0.788,0.165,-11.719,-1.221,7.996,1
0.589,-0.782,0.132,-12.085,-0.671,7.812,1
0.584,-0.774,0.12,-12.268,-0.977,7.69,1
0.597,-0.774,0.124,-12.573,-1.465,7.385,1
0.6,-0.777,0.131,-12.939,-2.136,6.592,1
0.596,-0.758,0.147,-12.756,-2.747,5.92,1
0.589,-0.754,0.153,-9.705,-2.808,5.615,1
0.601,-0.766,0.145,-5.493,-2.319,4.883,1
0.609,-0.785,0.137,-3.235,-2.136,4.395,1
0.621,-0.801,0.136,-4.333,-3.052,3.784,1
0.615,-0.77,0.141,-6.531,-4.456,2.686,1
0.612,-0.764,0.164,-6.897,-5.432,1.282,1
0.614,-0.79,0.178,-5.554,-5.554,0.366,1
0.616,-0.786,0.177,-3.54,-5.066,0,1
0.145,-1.343,0.489,61.157,-38.94,16.602,1
0.137,-1.322,0.459,66.833,-36.926,26.245,1
0.145,-1.328,0.429,67.932,-34.241,34.79,1
0.192,-1.307,0.403,64.148,-31.311,44.739,1
0.228,-1.292,0.402,58.96,-29.663,54.749,1
0.222,-1.3,0.406,54.016,-29.602,62.866,1
0.195,-1.245,0.419,52.063,-28.564,69.214,1
0.182,-1.197,0.431,53.223,-26.062,73.425,1
